Time	Speed	Torque
s	%	%
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	1.5	8.9
8	15.8	30.9
9	27.4	1.3
10	32.6	0.7
11	34.8	1.2
12	36.2	7.4
13	37.1	6.2
14	37.9	10.2
15	39.6	12.3
16	42.3	12.5
17	45.3	12.6
18	48.6	6
19	40.8	0
20	33	16.3
21	42.5	27.4
22	49.3	26.7
23	54	18
24	57.1	12.9
25	58.9	8.6
26	59.3	6
27	59	4.9
28	57.9	m
29	55.7	m
30	52.1	m
31	46.4	m
32	38.6	m
33	29	m
34	20.8	m
35	16.9	m
36	16.9	42.5
37	18.8	38.4
38	20.7	32.9
39	21	0
40	19.1	0
41	13.7	0
42	2.2	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	13.1
51	13.1	30.1
52	26.3	25.5
53	35	32.2
54	41.7	14.3
55	42.2	0
56	42.8	11.6
57	51	20.9
58	60	9.6
59	49.4	0
60	38.9	16.6
61	43.4	30.8
62	49.4	14.2
63	40.5	0
64	31.5	43.5
65	36.6	78.2
66	40.8	67.6
67	44.7	59.1
68	48.3	52
69	51.9	63.8
70	54.7	27.9
71	55.3	18.3
72	55.1	16.3
73	54.8	11.1
74	54.7	11.5
75	54.8	17.5
76	55.6	18
77	57	14.1
78	58.1	7
79	43.3	0
80	28.5	25
81	30.4	47.8
82	32.1	39.2
83	32.7	39.3
84	32.4	17.3
85	31.6	11.4
86	31.1	10.2
87	31.1	19.5
88	31.4	22.5
89	31.6	22.9
90	31.6	24.3
91	31.9	26.9
92	32.4	30.6
93	32.8	32.7
94	33.7	32.5
95	34.4	29.5
96	34.3	26.5
97	34.4	24.7
98	35	24.9
99	35.6	25.2
100	36.1	24.8
101	36.3	24
102	36.2	23.6
103	36.2	23.5
104	36.8	22.7
105	37.2	20.9
106	37	19.2
107	36.3	18.4
108	35.4	17.6
109	35.2	14.9
110	35.4	9.9
111	35.5	4.3
112	35.2	6.6
113	34.9	10
114	34.7	25.1
115	34.4	29.3
116	34.5	20.7
117	35.2	16.6
118	35.8	16.2
119	35.6	20.3
120	35.3	22.5
121	35.3	23.4
122	34.7	11.9
123	45.5	0
124	56.3	m
125	46.2	m
126	50.1	0
127	54	m
128	40.5	m
129	27	m
130	13.5	m
131	0	0
132	0	0
133	0	0
134	0	0
135	0	0
136	0	0
137	0	0
138	0	0
139	0	0
140	0	0
141	0	0
142	0	4.9
143	0	7.3
144	4.4	28.7
145	11.1	26.4
146	15	9.4
147	15.9	0
148	15.3	0
149	14.2	0
150	13.2	0
151	11.6	0
152	8.4	0
153	5.4	0
154	4.3	5.6
155	5.8	24.4
156	9.7	20.7
157	13.6	21.1
158	15.6	21.5
159	16.5	21.9
160	18	22.3
161	21.1	46.9
162	25.2	33.6
163	28.1	16.6
164	28.8	7
165	27.5	5
166	23.1	3
167	16.9	1.9
168	12.2	2.6
169	9.9	3.2
170	9.1	4
171	8.8	3.8
172	8.5	12.2
173	8.2	29.4
174	9.6	20.1
175	14.7	16.3
176	24.5	8.7
177	39.4	3.3
178	39	2.9
179	38.5	5.9
180	42.4	8
181	38.2	6
182	41.4	3.8
183	44.6	5.4
184	38.8	8.2
185	37.5	8.9
186	35.4	7.3
187	28.4	7
188	14.8	7
189	0	5.9
190	0	0
191	0	0
192	0	0
193	0	0
194	0	0
195	0	0
196	0	0
197	0	0
198	0	0
199	0	0
200	0	0
201	0	0
202	0	0
203	0	0
204	0	0
205	0	0
206	0	0
207	0	0
208	0	0
209	0	0
210	0	0
211	0	0
212	0	0
213	0	0
214	0	0
215	0	0
216	0	0
217	0	0
218	0	0
219	0	0
220	0	0
221	0	0
222	0	0
223	0	0
224	0	0
225	0	0
226	0	0
227	0	0
228	0	0
229	0	0
230	0	0
231	0	0
232	0	0
233	0	0
234	0	0
235	0	0
236	0	0
237	0	0
238	0	0
239	0	0
240	0	0
241	0	0
242	0	0
243	0	0
244	0	0
245	0	0
246	0	0
247	0	0
248	0	0
249	0	0
250	0	0
251	0	0
252	0	0
253	0	31.6
254	9.4	13.6
255	22.2	16.9
256	33	53.5
257	43.7	22.1
258	39.8	0
259	36	45.7
260	47.6	75.9
261	61.2	70.4
262	72.3	70.4
263	76	m
264	74.3	m
265	68.5	m
266	61	m
267	56	m
268	54	m
269	53	m
270	50.8	m
271	46.8	m
272	41.7	m
273	35.9	m
274	29.2	m
275	20.7	m
276	10.1	m
277	0	m
278	0	0
279	0	0
280	0	0
281	0	0
282	0	0
283	0	0
284	0	0
285	0	0
286	0	0
287	0	0
288	0	0
289	0	0
290	0	0
291	0	0
292	0	0
293	0	0
294	0	0
295	0	0
296	0	0
297	0	0
298	0	0
299	0	0
300	0	0
301	0	0
302	0	0
303	0	0
304	0	0
305	0	0
306	0	0
307	0	0
308	0	0
309	0	0
310	0	0
311	0	0
312	0	0
313	0	0
314	0	0
315	0	0
316	0	0
317	0	0
318	0	0
319	0	0
320	0	0
321	0	0
322	0	0
323	0	0
324	4.5	41
325	17.2	38.9
326	30.1	36.8
327	41	34.7
328	50	32.6
329	51.4	0.1
330	47.8	m
331	40.2	m
332	32	m
333	24.4	m
334	16.8	m
335	8.1	m
336	0	m
337	0	0
338	0	0
339	0	0
340	0	0
341	0	0
342	0	0
343	0	0
344	0	0
345	0	0
346	0	0
347	0	0
348	0	0
349	0	0
350	0	0
351	0	0
352	0	0
353	0	0
354	0	0.5
355	0	4.9
356	9.2	61.3
357	22.4	40.4
358	36.5	50.1
359	47.7	21
360	38.8	0
361	30	37
362	37	63.6
363	45.5	90.8
364	54.5	40.9
365	45.9	0
366	37.2	47.5
